1;1;Ali Sami Yen Spor Kompleksi Türk Telekom Stadyumu;52650
2;2;Ülker Stadyumu FB Şükrü Saraçoğlu Spor Kompleksi;50509
3;3;Bursa Büyükşehir Belediye Stadyumu;43331
4;4;Konyaspor Konya Büyükşehir Belediye Stadyumu;41981
5;5;Vodafone Park;41903
6;6;Medical Park Stadyumu;40775
7;7;Büyüksehir Belediyesi Kadir Has;32864
8;8;Antalya Stadyumu;32539
9;9;Yeni 4 Eylül Stadı;27532
10;10;Yeni Malatya Stadyumu Malatya;27044
11;11;Erzurum Kazım Karabekir;23700
12;12;Eryaman Stadyumu;22000
13;13;3.İstanbul Başakşehir Fatih Terim;17300
14;14;Çaykur Didi;15332
15;15;Recep Tayyip Erdogan Stadyumu;14234
16;16;Bornova Stadı;12500
17;17;Spor Toto Akhisar Stadyumu;12139
18;18;Bahçeşehir Okulları Stadyumu;10128
